Timestamp,Intensity (kPa),Hooray Cycle #
09:08.7,-0.68,0
09:08.8,-0.68,0
09:08.9,-0.62,0
09:09.0,-0.62,0
09:09.1,-0.62,0
09:09.2,-0.68,0
09:09.3,-0.62,0
09:09.4,-0.62,0
09:09.5,-0.62,0
09:09.6,-0.68,0
09:09.7,-0.36,0
09:09.8,0.62,0
09:09.9,0.52,0
09:10.0,-0.26,0
09:10.1,-0.16,0
09:10.2,0.47,0
09:10.3,0.57,0
09:10.4,0.57,0
09:10.5,-0.1,0
09:10.6,0.47,0
09:10.7,0.83,0
09:10.8,0.99,0
09:10.9,0.99,0
09:11.0,1.04,0
09:11.1,1.4,0
09:11.2,1.46,0
09:11.3,2.13,0
09:11.4,2.34,0
09:11.5,3.33,0
09:11.6,3.85,0
09:11.7,4.47,0
09:11.8,5.62,0
09:11.9,6.45,0
09:12.0,7.65,0
09:12.1,8.22,0
09:12.2,8.84,0
09:12.3,9.63,0
09:12.4,10.41,0
09:12.5,10.56,0
09:12.6,10.41,0
09:12.7,10.56,0
09:12.8,10.2,0
09:12.9,10.09,0
09:13.0,10.46,0
09:13.1,9.52,0
09:13.2,9.89,0
09:13.3,10.09,0
09:13.4,10.35,0
09:13.5,10.35,0
09:13.6,10.2,0
09:13.7,10.3,0
09:13.8,10.25,0
09:13.9,10.72,0
09:14.0,10.41,0
09:14.1,10.67,0
09:14.2,10.2,0
09:14.3,10.56,0
09:14.4,10.41,0
09:14.5,10.82,0
09:14.6,11.45,0
09:14.7,12.8,0
09:14.8,12.43,0
09:14.9,12.07,0
09:15.0,9.99,0
09:15.1,8.79,0
09:15.2,8.64,0
09:15.3,8.43,0
09:15.4,9.05,0
09:15.5,8.95,0
09:15.6,9.26,0
09:15.7,9.26,0
09:15.8,10.3,0
09:15.9,11.76,0
09:16.0,12.96,0
09:16.1,12.59,0
09:16.2,10.93,0
09:16.3,8.84,0
09:16.4,8.06,0
09:16.5,8.01,0
09:16.6,8.01,0
09:16.7,7.91,0
09:16.8,7.7,0
09:16.9,7.54,0
09:17.0,8.32,0
09:17.1,9.16,0
09:17.2,8.43,0
09:17.3,8.06,0
09:17.4,8.9,0
09:17.5,9,0
09:17.6,9.89,0
09:17.7,10.72,0
09:17.8,11.03,0
09:17.9,13.06,0
09:18.0,15.35,0
09:18.1,15.19,0
09:18.2,14.1,0
09:18.3,15.04,0
09:18.4,14.88,0
09:18.5,14.57,0
09:18.6,14.05,0
09:18.7,13.89,0
09:18.8,13.68,0
09:18.9,14.46,0
09:19.0,14.05,0
09:19.1,15.3,0
09:19.2,16.08,0
09:19.3,16.44,0
09:19.4,16.65,0
09:19.5,17.22,0
09:19.6,17.74,0
09:19.7,18.42,0
09:19.8,18.57,0
09:19.9,17.95,0
09:20.0,17.85,0
09:20.1,18.05,0
09:20.2,18.26,0
09:20.3,18.11,0
09:20.4,18.05,0
09:20.5,17.9,0
09:20.6,17.53,0
09:20.7,16.39,0
09:20.8,14.52,0
09:20.9,13.58,0
09:21.0,12.9,0
09:21.1,13.01,0
09:21.2,13.01,0
09:21.3,13.11,0
09:21.4,14.26,0
09:21.5,13.42,0
09:21.6,14.1,0
09:21.7,15.14,0
09:21.8,15.5,0
09:21.9,15.61,0
09:22.0,16.08,0
09:22.1,16.23,0
09:22.2,16.6,0
09:22.3,16.91,0
09:22.4,16.86,0
09:22.5,14.83,0
09:22.6,12.8,0
09:22.7,10.46,0
09:22.8,9.47,0
09:22.9,9.11,0
09:23.0,9.16,0
09:23.1,9.26,0
09:23.2,9.26,0
09:23.3,9.57,0
09:23.4,9.94,0
09:23.5,10.35,0
09:23.6,9.89,0
09:23.7,8.06,0
09:23.8,10.35,0
09:23.9,10.98,0
09:24.0,8.74,0
09:24.1,9.78,0
09:24.2,10.35,0
09:24.3,10.87,0
09:24.4,10.77,0
09:24.5,10.46,0
09:24.6,10.93,0
09:24.7,10.2,0
09:24.8,10.72,0
09:24.9,12.07,0
09:25.0,12.7,0
09:25.1,13.63,0
09:25.2,13.84,0
09:25.3,14.52,0
09:25.4,14.88,0
09:25.5,15.19,0
09:25.6,15.5,0
09:25.7,16.23,0
09:25.8,16.81,0
09:25.9,16.96,0
09:26.0,17.27,0
09:26.1,17.48,0
09:26.2,17.38,0
09:26.3,16.91,0
09:26.4,16.49,0
09:26.5,16.08,0
09:26.6,15.66,0
09:26.7,15.14,0
09:26.8,14.78,0
09:26.9,14.52,0
09:27.0,14.1,0
09:27.1,13.74,0
09:27.2,12.8,0
09:27.3,11.76,0
09:27.4,11.55,0
09:27.5,11.24,0
09:27.6,11.39,0
09:27.7,11.81,0
09:27.8,11.81,0
09:27.9,11.91,0
09:28.0,11.97,0
09:28.1,12.07,0
09:28.2,12.02,0
09:28.3,11.55,0
09:28.4,11.6,0
09:28.5,11.19,0
09:28.6,11.08,0
09:28.7,10.93,0
09:28.8,10.87,0
09:28.9,11.24,0
09:29.0,11.45,0
09:29.1,11.97,0
09:29.2,12.23,0
09:29.3,12.49,0
09:29.4,12.54,0
09:29.5,12.33,0
09:29.6,12.12,0
09:29.7,11.71,0
09:29.8,10.87,0
09:29.9,9.89,0
09:30.0,9.73,0
09:30.1,10.04,0
09:30.2,10.51,0
09:30.3,11.29,0
09:30.4,11.71,0
09:30.5,12.02,0
09:30.6,12.12,0
09:30.7,13.22,0
09:30.8,14.31,0
09:30.9,14.2,0
09:31.0,14.36,0
09:31.1,14.1,0
09:31.2,13.42,0
09:31.3,12.38,0
09:31.4,11.55,0
09:31.5,11.5,0
09:31.6,11.5,0
09:31.7,11.29,0
09:31.8,11.03,0
09:31.9,10.72,0
09:32.0,10.56,0
09:32.1,10.35,0
09:32.2,10.04,0
09:32.3,9.73,0
09:32.4,9.94,0
09:32.5,9.78,0
09:32.6,9.83,0
09:32.7,9.89,0
09:32.8,10.35,0
09:32.9,10.56,0
09:33.0,10.56,0
09:33.1,10.77,0
09:33.2,10.15,0
09:33.3,7.8,0
09:33.4,7.39,0
09:33.5,7.65,0
09:33.6,8.12,0
09:33.7,8.17,0
09:33.8,8.12,0
09:33.9,7.8,0
09:34.0,7.91,0
09:34.1,7.91,0
09:34.2,8.12,0
09:34.3,8.01,0
09:34.4,8.53,0
09:34.5,8.48,0
09:34.6,8.53,0
09:34.7,8.43,0
09:34.8,8.69,0
09:34.9,8.79,0
09:35.0,8.79,0
09:35.1,8.9,0
09:35.2,8.64,0
09:35.3,8.74,0
09:35.4,8.69,0
09:35.5,8.64,0
09:35.6,8.74,0
09:35.7,8.69,0
09:35.8,8.58,0
09:35.9,8.69,0
09:36.0,8.9,0
09:36.1,9,0
09:36.2,9.05,0
09:36.3,9.16,0
09:36.4,9.05,0
09:36.5,9.05,0
09:36.6,9.11,0
09:36.7,9.21,0
09:36.8,9.37,0
09:36.9,9.47,0
09:37.0,9.52,0
09:37.1,9.57,0
09:37.2,9.52,0
09:37.3,10.15,0
09:37.4,10.77,0
09:37.5,10.67,0
09:37.6,10.46,0
09:37.7,10.15,0
09:37.8,9.68,0
09:37.9,9.11,0
09:38.0,8.58,0
09:38.1,8.27,0
09:38.2,7.91,0
09:38.3,7.8,0
09:38.4,7.7,0
09:38.5,7.54,0
09:38.6,7.39,0
09:38.7,7.39,0
09:38.8,7.49,0
09:38.9,7.44,0
09:39.0,7.39,0
09:39.1,7.28,0
09:39.2,7.18,0
09:39.3,7.08,0
09:39.4,7.18,0
09:39.5,7.28,0
09:39.6,7.28,0
09:39.7,7.49,0
09:39.8,7.7,0
09:39.9,7.96,0
09:40.0,8.22,0
09:40.1,8.58,0
09:40.2,8.95,0
09:40.3,9.26,0
09:40.4,9.16,0
09:40.5,9,0
09:40.6,8.79,0
09:40.7,8.64,0
09:40.8,8.58,0
09:40.9,8.27,0
09:41.0,8.32,0
09:41.1,8.38,0
09:41.2,8.84,0
09:41.3,9.31,0
09:41.4,9.57,0
09:41.5,9.57,0
09:41.6,9.47,0
09:41.7,9.37,0
09:41.8,9.42,0
09:41.9,9.31,0
09:42.0,9.21,0
09:42.1,8.84,0
09:42.2,9,0
09:42.3,9,0
09:42.4,8.79,0
09:42.5,8.69,0
09:42.6,8.64,0
09:42.7,8.64,0
09:42.8,8.64,0
09:42.9,8.64,0
09:43.0,8.74,0
09:43.1,8.79,0
09:43.2,8.69,0
09:43.3,8.58,0
09:43.4,9.05,0
09:43.5,9.31,0
09:43.6,9.26,0
09:43.7,9.16,0
09:43.8,9.16,0
09:43.9,9.11,0
09:44.0,9.89,0
09:44.1,10.09,0
09:44.2,9.57,0
09:44.3,9.21,0
09:44.4,8.84,0
09:44.5,8.79,0
09:44.6,8.64,0
09:44.7,8.69,0
09:44.8,8.64,0
09:44.9,8.64,0
09:45.0,8.69,0
09:45.1,8.69,0
09:45.2,8.69,0
09:45.3,8.79,0
09:45.4,8.84,0
09:45.5,8.95,0
09:45.6,9,0
09:45.7,9.05,0
09:45.8,9.11,0
09:45.9,9.11,0
09:46.0,9.11,0
09:46.1,9.26,0
09:46.2,8.9,0
09:46.3,8.9,0
09:46.4,8.74,0
09:46.5,8.9,0
09:46.6,8.64,0
09:46.7,8.64,0
09:46.8,8.69,0
09:46.9,8.84,0
09:47.0,9.16,0
09:47.1,9.21,0
09:47.2,9.05,0
09:47.3,8.9,0
09:47.4,9.31,0
09:47.5,10.04,0
09:47.6,10.15,0
09:47.7,10.51,0
09:47.8,10.72,0
09:47.9,10.67,0
09:48.0,10.46,0
09:48.1,10.25,0
09:48.2,10.15,0
09:48.3,10.15,0
09:48.4,9.99,0
09:48.5,9.89,0
09:48.6,9.89,0
